Index,CrashID,Role,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
56,903160956,Driver,M,45-54Years,97,5/23/2018,WEDNESDAY,MAY,2:28,AM,0,1,39.825744,-86.075136,1,40,nan,38THSTWHITTIERPL,Fatal,RANOFFROAD
57,903282073,Driver,M,35-44Years,97,12/2/2018,SUNDAY,DEC,3:19,AM,0,1,39.825776,-86.07848,1,35,Multi-LaneUndivided(TwoWay),38THSTHAWTHORNELN,Fatal,OVERCORRECTING/OVERSTEERING
58,903230338,Driver,M,55-64Years,97,9/21/2018,FRIDAY,SEP,10:56,AM,1,1,39.68182676,-86.13272316,1,35,nan,GILBERTAVEMADISONAVE,Fatal,LEFTOFCENTER
59,903105880,Driver,M,15-24Years,97,2/20/2018,TUESDAY,FEB,3:13,AM,0,1,39.78901689,-86.19517613,2,35,Multi-LaneUndivided(TwoWay),16THSTWATERWAYBLVD,Fatal,UNSAFESPEED
60,903218355,Driver,M,35-44Years,97,9/9/2018,SUNDAY,SEP,11:39,PM,2,1,39.6142395,-86.10222,3,40,TwoLanes(TwoWay),SHERMANDRSOUTHPORTRD,Fatal,UNSAFESPEED
61,903227017,Driver,M,35-44Years,97,9/14/2018,FRIDAY,SEP,12:53,PM,0,1,39.698496,-86.265184,1,45,Multi-LaneDivided3ormore(TwoWay),KENTUCKYAVENORCROFTDR,Fatal,FAILURETOYIELDRIGHTOFWAY
62,903209563,Driver,M,45-54Years,97,8/23/2018,THURSDAY,AUG,9:06,PM,0,1,39.81832,-86.045616,1,45,Multi-LaneUndivided(TwoWay),34THSTSHADELANDAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
63,903088011,Driver,F,35-44Years,97,1/23/2018,TUESDAY,JAN,5:16,PM,0,1,39.66879274,-86.06348977,3,40,TwoLanes(TwoWay),ARLINGTONAVESOUTHPORTRD,Fatal,LEFTOFCENTER
64,903204331,Driver,M,45-54Years,97,7/25/2018,WEDNESDAY,JUL,5:27,AM,0,1,39.798144,-86.06424,1,35,Multi-LaneUndivided(TwoWay),ARLINGTONAVEWINDSORDR,Fatal,RANOFFROAD
65,903235674,Driver,F,25-34Years,97,9/29/2018,SATURDAY,SEP,6:52,PM,2,1,39.83995745,-86.09790603,1,45,Multi-LaneUndivided(TwoWay),46THSTFORESTMANORAVE,Fatal,LEFTOFCENTER
66,903151643,Driver,M,35-44Years,97,5/12/2018,SATURDAY,MAY,2:46,AM,0,1,39.804096,-86.161312,1,35,Multi-Lanes(OneWay),26THSTCAPITOLAVE,Fatal,RANOFFROAD
67,903207078,Driver,M,25-34Years,97,8/18/2018,SATURDAY,AUG,2:14,PM,0,1,39.89672,-86.24098,1,40,Multi-LaneUndivided(TwoWay),79THSTGEORGETOWNRD,Fatal,UNSAFELANEMOVEMENT
68,903070595,Driver,M,55-64Years,97,1/1/2018,MONDAY,JAN,6:00,AM,0,1,39.85864,-86.004784,1,30,TwoLanes(TwoWay),EMAINSTHAWKINSRD,Fatal,RANOFFROAD
69,903104450,Driver,F,25-34Years,97,1/13/2018,SATURDAY,JAN,11:00,PM,0,1,39.650144,-86.11613395,1,35,Multi-LaneDivided3ormore(TwoWay),CROSSGATELNSTOP11RD,Fatal,RANOFFROAD
